 cafe , case 
 caft , cast 
 drefs , dress 
 eaft , east 
 fafe , safe 
 faid , said 
 Faid, Said
 fave , save 
 Fave, Save 
 faved , saved 
 faw , saw 
 fay , say 
 fee , see 
 feeing , seeing 
 feen , seen 
 fent , sent 
 fet , set 
 fide , side 
 fides , sides 
 fo , so 
 fome , some 
 foon , soon 
 moft , most 
 Monf , Monsieur 
 paff , pass 
 reft , rest 
 ufe , use 
-fide,-side
1ft,1st
21ft,21st
2ift,21st
31ft,31st
3ift,31st
abfence,absence
abfolute,absolute
abfolutely,absolutely
abfurd,absurb
abfurdity,absurbity
abufe,abuse
abufed,abused
abufes,abuses
abufing,abusing
acceffories,accessories
acceffory,accessory
accefs,access
accefsed,accessed
accefses,accesses
accefsion,accession
accomplifh,accomplish
accomplifhed,accomplished
accomplifhes,accomplishes
accomplifhing,accomplishing
accufation,accusation
accufe,accuse
accufed,accused
acquiefce,acquiesce
Addifon,addison
addrefs,address
addrefsed,addressed
addrefses,addresses
addrefsing,addressing
adminftration,administration
adminifter,administer
adminiftered,administered
adminiftering,administering
adminifters,administers
advantageoufly,advantageously
adverfaries,adversaries
adverfary,adversary
afcribe,ascribe
afcribed,ascribed
affailant,assailant
affailants,assailants
affailed,assailed
affault,assault
affaultable,assaultable
affaulted,assaulted
affaulting,assaulting
affaults,assaults
affemble,assemble
affembled,assembled
affembling,assembling
affembly,assembly
afferted,asserted
afferting,asserting
affertion,assertion
affertions,assertions
afferts,asserts
affift,assist
affiftance,assistance
affifts,assists
affurance,assurance
affurances,assurances
affure,assure
affures,assures
aflaut,assault
afpersion,aspersion
afpersions,aspersions
aftonishment,astonishment
againft,against
aiiemble,assemble
aiiembled,assembled
alfo,also
almoft,almost
ambufcade,ambuscade
amongfst,amongst
anceftor,ancestor
anceftors,ancestors
anceftries,ancestries
anceftry,ancestry
anfwer,answer
anfwered,answered
anfwers,answers
applaufe,applause
Arfchot,Arschot
arfenal,arsenal
arfenals,arsenals
arifing,arising
Artoife,Artois
aufpicious,auspicious
Auftria,austria
Augfburg,Augsburg
auguft,august
backwardnefs,backwardness
badnefs,badness
baftion,bastion
baftions,bastions
becaufe,because
befeech,beseech
befeige,besiege
befeiged,besieged
befeiges,besieges
befeiging,besieging
befide,beside
befides,besides
befiege,besiege
befieged,besieged
befieger,besieger
befiegers,besiegers
befieging,besieging
befpeak,bespeak
befpoke,bespoke
bignefs,bigness
bleffing,blessing
blefs,bless
blefsed,blessed
blefses,blesses
boldnefs,boldness
Breflau,breslau
Breflaw,breslau
Breft,brest
Bruffels,brussels
bufinefs,business
bufinefses,businesses
bufiness,business
Caefar,caesar
Caefar's,caesar's
cafes,cases
Caffel,Cassel
caftle,castle
caftles,castles
Cambrefis,Cambresis
caufe,cause
caufed,caused
caufes,causes
ceffation,cessation
chearfulnefs,cheerfulness
cheerfulnefs,cheerfulness
cheft,chest
Chichefter,chichester
Chriftendom,Christendom
circumftances,circumstances
clearnefs,clearness
clofe,close
cloifter,cloister
Cloudefly,Cloudesley
